😀  grinning face
🧩  jigsaw puzzle piece
🧪  test tube
🧫  petri dish
🧬  dna double helix
🧭  compass
🧮  abacus
🧯  fire extinguisher
🧰  toolbox
🧱  brick
🧲  magnet
🧳  luggage
🧴  lotion bottle
🧵  spool of thread
🧶  ball of yarn
🧷  safety pin
🧸  teddy bear
🧹  broom
🧺  basket
🧻  roll of paper
🧼  bar of soap
🧽  sponge
🧾  receipt
🧿  nazar amulet
🩰  ballet shoes
🩱  one-piece swimsuit
🩲  briefs
🩳  shorts
🩴  thong sandal
🩵  light blue heart
🩶  grey heart
🩷  pink heart
🩸  drop of blood
🩹  adhesive bandage
🩺  stethoscope
🩻  x-ray
🩼  crutch
🪀  yo-yo
🪁  kite
🪂  parachute
🪃  boomerang
🪄  magic wand
🪅  pinata
🪆  nesting dolls
🪇  maracas
🪈  flute
🪉  harp
🪏  shovel
🪐  ringed planet
🪑  chair
🪒  razor
🪓  axe
🪔  diya lamp
🪕  banjo
🪖  military helmet
🪗  accordion
🪘  long drum
🪙  coin
🪚  carpentry saw
🪛  screwdriver
🪜  ladder
🪝  hook
🪞  mirror
🪟  window
🪠  plunger
🪡  sewing needle
🪢  knot
🪣  bucket
🪤  mouse trap
🪥  toothbrush
🪦  headstone
🪧  placard
🪨  rock
🪩  mirror ball
🪪  identification card
🪫  low battery
🪬  hamsa
🪭  folding hand fan
🪮  hair pick
🪯  khanda
🪰  fly
🪱  worm
🪲  beetle
🪳  cockroach
🪴  potted plant
🪵  wood
🪶  feather
🪷  lotus
🪸  coral
🪹  empty nest
🪺  nest with eggs
🪻  hyacinth
🪼  jellyfish
🪽  wing
🪾  leafless tree
🪿  goose
🫀  anatomical heart
🫁  lungs
🫂  people hugging
🫃  pregnant man
🫄  pregnant person
🫅  person with crown
🫆  fingerprint
🫎  moose
🫏  donkey
🫐  blueberries
🫑  bell pepper
🫒  olive
🫓  flatbread
🫔  tamale
🫕  fondue
🫖  teapot
🫗  pouring liquid
🫘  beans
🫙  jar
🫚  ginger root
🫛  pea pod
🫜  root vegetable
🫟  splatter
🫠  melting face
🫡  saluting face
🫢  face with open eyes and hand over mouth
🫣  face with peeking eye
🫤  face with diagonal mouth
🫥  dotted line face
🫦  biting lip
🫧  bubbles
🫨  shaking face
🫩  face with bags under eyes
🫰  hand with index finger and thumb crossed
🫱  rightwards hand
🫲  leftwards hand
🫳  palm down hand
🫴  palm up hand
🫵  index pointing at the viewer
🫶  heart hands
🫷  leftwards pushing hand
🫸  rightwards pushing hand
🌀  cyclone
🌁  foggy
🌂  closed umbrella
🌃  night with stars
🌄  sunrise over mountains
🌅  sunrise
🌆  cityscape at dusk
🌇  sunset over buildings
🌈  rainbow
🌉  bridge at night
🌊  water wave
🌋  volcano
🌌  milky way
🌍  earth globe europe-africa
🌎  earth globe americas
🌏  earth globe asia-australia
🌐  globe with meridians
🌑  new moon symbol
🌒  waxing crescent moon symbol
