😀  grinning face
♀  female sign
♁  earth
♂  male sign
♃  jupiter
♄  saturn
♅  uranus
♆  neptune
♇  pluto
♈  aries
♉  taurus
♊  gemini
♋  cancer
♌  leo
♍  virgo
♎  libra
♏  scorpius
♐  sagittarius
♑  capricorn
♒  aquarius
♓  pisces
♔  white chess king
♕  white chess queen
♖  white chess rook
♗  white chess bishop
♘  white chess knight
♙  white chess pawn
♚  black chess king
♛  black chess queen
♜  black chess rook
♝  black chess bishop
♞  black chess knight
♟  black chess pawn
♠  black spade suit
♡  white heart suit
♢  white diamond suit
♣  black club suit
♤  white spade suit
♥  black heart suit
♦  black diamond suit
♧  white club suit
♨  hot springs
♩  quarter note
♪  eighth note
♫  beamed eighth notes
♬  beamed sixteenth notes
♭  music flat sign
♮  music natural sign
♯  music sharp sign
♰  west syriac cross
♱  east syriac cross
♲  universal recycling symbol
♳  recycling symbol for type-1 plastics
♴  recycling symbol for type-2 plastics
♵  recycling symbol for type-3 plastics
♶  recycling symbol for type-4 plastics
♷  recycling symbol for type-5 plastics
♸  recycling symbol for type-6 plastics
♹  recycling symbol for type-7 plastics
♺  recycling symbol for generic materials
♻  black universal recycling symbol
♼  recycled paper symbol
♽  partially-recycled paper symbol
♾  permanent paper sign
♿  wheelchair symbol
⚀  die face-1
⚁  die face-2
⚂  die face-3
⚃  die face-4
⚄  die face-5
⚅  die face-6
⚆  white circle with dot right
⚇  white circle with two dots
⚈  black circle with white dot right
⚉  black circle with two white dots
⚊  monogram for yang
⚋  monogram for yin
⚌  digram for greater yang
⚍  digram for lesser yin
⚎  digram for lesser yang
⚏  digram for greater yin
⚐  white flag
⚑  black flag
⚒  hammer and pick
⚓  anchor
⚔  crossed swords
⚕  staff of aesculapius
⚖  scales
⚗  alembic
⚘  flower
⚙  gear
⚚  staff of hermes
⚛  atom symbol
⚜  fleur-de-lis
⚝  outlined white star
⚞  three lines converging right
⚟  three lines converging left
⚠  warning sign
⚡  high voltage sign
⚢  doubled female sign
⚣  doubled male sign
⚤  interlocked female and male sign
⚥  male and female sign
⚦  male with stroke sign
⚧  male with stroke and male and female sign
⚨  vertical male with stroke sign
⚩  horizontal male with stroke sign
⚪  medium white circle
⚫  medium black circle
⚬  medium small white circle
⚭  marriage symbol
⚮  divorce symbol
⚯  unmarried partnership symbol
⚰  coffin
⚱  funeral urn
⚲  neuter
⚳  ceres
⚴  pallas
⚵  juno
⚶  vesta
⚷  chiron
⚸  black moon lilith
⚹  sextile
⚺  semisextile
⚻  quincunx
⚼  sesquiquadrate
⚽  soccer ball
⚾  baseball
⚿  squared key
⛀  white draughts man
⛁  white draughts king
⛂  black draughts man
⛃  black draughts king
⛄  snowman without snow
⛅  sun behind cloud
⛆  rain
⛇  black snowman
⛈  thunder cloud and rain
⛉  turned white shogi piece
⛊  turned black shogi piece
⛋  white diamond in square
⛌  crossing lanes
⛍  disabled car
⛎  ophiuchus
⛏  pick
⛐  car sliding
⛑  helmet with white cross
⛒  circled crossing lanes
⛓  chains
⛔  no entry
⛕  alternate one-way left way traffic
⛖  black two-way left way traffic
⛗  white two-way left way traffic
⛘  black left lane merge
⛙  white left lane merge
⛚  drive slow sign
⛛  heavy white down-pointing triangle
⛜  left closed entry
⛝  squared saltire
⛞  falling diagonal in white circle in black square
⛟  black truck
⛠  restricted left entry-1
⛡  restricted left entry-2
⛢  astronomical symbol for uranus
⛣  heavy circle with stroke and two dots above
⛤  pentagram
⛥  right-handed interlaced pentagram
⛦  left-handed interlaced pentagram
⛧  inverted pentagram
⛨  black cross on shield
⛩  shinto shrine
⛪  church
⛫  castle
⛬  historic site
⛭  gear without hub
⛮  gear with handles
⛯  map symbol for lighthouse
⛰  mountain
⛱  umbrella on ground
⛲  fountain
⛳  flag in hole
⛴  ferry
⛵  sailboat
⛶  square four corners
⛷  skier
⛸  ice skate
⛹  person with ball
⛺  tent
⛻  japanese bank symbol
⛼  headstone graveyard symbol
⛽  fuel pump
⛾  cup on black square
⛿  white flag with horizontal middle black stripe
✀  black safety scissors
✁  upper blade scissors
✂  black scissors
✃  lower blade scissors
✄  white scissors
✅  white heavy check mark
✆  telephone location sign
✇  tape drive
✈  airplane
✉  envelope
✊  raised fist
✋  raised hand
✌  victory hand
✍  writing hand
✎  lower right pencil
✏  pencil
✐  upper right pencil
✑  white nib
✒  black nib
✓  check mark
✔  heavy check mark
✕  multiplication x
✖  heavy multiplication x
✗  ballot x
✘  heavy ballot x
✙  outlined greek cross
✚  heavy greek cross
✛  open centre cross
✜  heavy open centre cross
✝  latin cross
✞  shadowed white latin cross
✟  outlined latin cross
✠  maltese cross
✡  star of david
✢  four teardrop-spoked asterisk
✣  four balloon-spoked asterisk
✤  heavy four balloon-spoked asterisk
✥  four club-spoked asterisk
✦  black four pointed star
✧  white four pointed star
✨  sparkles
✩  stress outlined white star
✪  circled white star
✫  open centre black star
✬  black centre white star
✭  outlined black star
✮  heavy outlined black star
✯  pinwheel star
✰  shadowed white star
✱  heavy asterisk
✲  open centre asterisk
✳  eight spoked asterisk
✴  eight pointed black star
✵  eight pointed pinwheel star
✶  six pointed black star
✷  eight pointed rectilinear black star
✸  heavy eight pointed rectilinear black star
✹  twelve pointed black star
✺  sixteen pointed asterisk
✻  teardrop-spoked asterisk
✼  open centre teardrop-spoked asterisk
✽  heavy teardrop-spoked asterisk
✾  six petalled black and white florette
✿  black florette
❀  white florette
❁  eight petalled outlined black florette
❂  circled open centre eight pointed star
❃  heavy teardrop-spoked pinwheel asterisk
❄  snowflake
❅  tight trifoliate snowflake
❆  heavy chevron snowflake
❇  sparkle
❈  heavy sparkle
❉  balloon-spoked asterisk
❊  eight teardrop-spoked propeller asterisk
❋  heavy eight teardrop-spoked propeller asterisk
❌  cross mark
❍  shadowed white circle
❎  negative squared cross mark
❏  lower right drop-shadowed white square
❐  upper right drop-shadowed white square
❑  lower right shadowed white square
❒  upper right shadowed white square
❓  black question mark ornament
❔  white question mark ornament
❕  white exclamation mark ornament
❖  black diamond minus white x
❗  heavy exclamation mark symbol
❘  light vertical bar
❙  medium vertical bar
❚  heavy vertical bar
❛  heavy single turned comma quotation mark ornament
❜  heavy single comma quotation mark ornament
❝  heavy double turned comma quotation mark ornament
❞  heavy double comma quotation mark ornament
❟  heavy low single comma quotation mark ornament
❠  heavy low double comma quotation mark ornament
❡  curved stem paragraph sign ornament
❢  heavy exclamation mark ornament
❣  heavy heart exclamation mark ornament
❤  heavy black heart
❥  rotated heavy black heart bullet
❦  floral heart
❧  rotated floral heart bullet
❨  medium left parenthesis ornament
❩  medium right parenthesis ornament
❪  medium flattened left parenthesis ornament
❫  medium flattened right parenthesis ornament
❬  medium left-pointing angle bracket ornament
❭  medium right-pointing angle bracket ornament
❮  heavy left-pointing angle quotation mark ornament
❯  heavy right-pointing angle quotation mark ornament
❰  heavy left-pointing angle bracket ornament
❱  heavy right-pointing angle bracket ornament
❲  light left tortoise shell bracket ornament
❳  light right tortoise shell bracket ornament
❴  medium left curly bracket ornament
❵  medium right curly bracket ornament
❶  dingbat negative circled digit one
❷  dingbat negative circled digit two
❸  dingbat negative circled digit three
❹  dingbat negative circled digit four
❺  dingbat negative circled digit five
❻  dingbat negative circled digit six
❼  dingbat negative circled digit seven
❽  dingbat negative circled digit eight
❾  dingbat negative circled digit nine
❿  dingbat negative circled number ten
➀  dingbat circled sans-serif digit one
➁  dingbat circled sans-serif digit two
➂  dingbat circled sans-serif digit three
➃  dingbat circled sans-serif digit four
➄  dingbat circled sans-serif digit five
➅  dingbat circled sans-serif digit six
➆  dingbat circled sans-serif digit seven
➇  dingbat circled sans-serif digit eight
➈  dingbat circled sans-serif digit nine
➉  dingbat circled sans-serif number ten
➊  dingbat negative circled sans-serif digit one
➋  dingbat negative circled sans-serif digit two
➌  dingbat negative circled sans-serif digit three
➍  dingbat negative circled sans-serif digit four
➎  dingbat negative circled sans-serif digit five
➏  dingbat negative circled sans-serif digit six
➐  dingbat negative circled sans-serif digit seven
➑  dingbat negative circled sans-serif digit eight
➒  dingbat negative circled sans-serif digit nine
➓  dingbat negative circled sans-serif number ten
➔  heavy wide-headed rightwards arrow
➕  heavy plus sign
➖  heavy minus sign
➗  heavy division sign
➘  heavy south east arrow
➙  heavy rightwards arrow
➚  heavy north east arrow
➛  drafting point rightwards arrow
➜  heavy round-tipped rightwards arrow
➝  triangle-headed rightwards arrow
➞  heavy triangle-headed rightwards arrow
➟  dashed triangle-headed rightwards arrow
➠  heavy dashed triangle-headed rightwards arrow
➡  black rightwards arrow
➢  three-d top-lighted rightwards arrowhead
➣  three-d bottom-lighted rightwards arrowhead
➤  black rightwards arrowhead
➥  heavy black curved downwards and rightwards arrow
➦  heavy black curved upwards and rightwards arrow
➧  squat black rightwards arrow
➨  heavy concave-pointed black rightwards arrow
➩  right-shaded white rightwards arrow
➪  left-shaded white rightwards arrow
➫  back-tilted shadowed white rightwards arrow
➬  front-tilted shadowed white rightwards arrow
➭  heavy lower right-shadowed white rightwards arrow
➮  heavy upper right-shadowed white rightwards arrow
➯  notched lower right-shadowed white rightwards arrow
➰  curly loop
➱  notched upper right-shadowed white rightwards arrow
➲  circled heavy white rightwards arrow
➳  white-feathered rightwards arrow
➴  black-feathered south east arrow
➵  black-feathered rightwards arrow
➶  black-feathered north east arrow
➷  heavy black-feathered south east arrow
➸  heavy black-feathered rightwards arrow
➹  heavy black-feathered north east arrow
➺  teardrop-barbed rightwards arrow
➻  heavy teardrop-shanked rightwards arrow
➼  wedge-tailed rightwards arrow
➽  heavy wedge-tailed rightwards arrow
➾  open-outlined rightwards arrow
➿  double curly loop
